"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Natural","143821.5349505387","143669.58182947905","143626.75033597197","143445.8980721798","143242.9820095692","143173.77295639025","143165.96165592215","143279.02609865772","143322.81616526545","143228.3897453664","142917.45375598094","142713.93064629383","142621.0938292889","142387.00118460707","142210.22114042751","141824.94669627165","141317.03071087462","140606.57167526212","140141.98070039751","139779.81416088628","139355.67870758663","139318.44553240068","139475.31790312644","139585.19219089393","139904.2204537984","140197.1324338461","139962.42086887272","139224.33730551394","137413.20058501358","135934.11215192106","134327.92379758356","133342.62174178424","132538.18259374096","131972.6709265477","130108.78089795104","127611.03002834888","125943.70554619584","124612.23368184737","121981.67100066523"
"1.1. Formação Florestal","22866.651646764167","22863.45400455227","22413.51034039814","20897.472203215817","20957.246828740525","21308.47717926548","21112.94674597724","21771.829786700175","23052.564469127574","23223.85837189207","23189.943967442854","23218.919673655902","22019.471120184167","21120.629656231427","21193.252927806825","20786.744411455747","20605.914791406016","20830.149489910913","20210.709415155317","20700.267037854046","21632.50207568307","22080.975540031635","22475.142102836468","22550.520014902722","23401.379990116773","23663.00742475434","23237.042119609137","22632.780039390105","22576.14462338046","22374.566078666106","21934.00986714308","21404.918835984306","21570.61352945364","21404.96676116149","21708.407839536663","21185.850743351304","20797.632075852704","20597.627819444097","19320.73009626304"
"1.2. Formação Savânica","113719.07657525307","113580.34978915432","114009.93411843173","115350.35710650696","115094.94841812752","114669.27353992409","114860.19159446664","114351.2247465708","113121.21162301188","112904.5978586064","112688.58300996169","112484.32305955834","113583.12102906957","114299.90775009221","114039.39704364512","114170.9251158709","113848.99178541741","112904.97483848869","113067.37143284995","112201.97370297031","110849.68632274859","110355.45539533567","110119.58107001685","110147.77249604769","109589.3879069986","109633.18814537137","109842.37970102784","109759.71028710189","107998.2672248353","106728.73956148155","105576.9609108912","105102.36364976995","104116.32623785941","103691.32700554153","101543.01719394934","99587.1098890628","98306.94151617472","97111.00530393804","95706.69665180241"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","67.76271517944346","66.43000684204112","59.234099645996174","55.32645156860356","51.3301932373047","54.882474316406295","55.148896496582054","56.03666060180669","55.41501832275397","58.87848040771492","70.8671729980469","80.01417378540032","77.79436114501952","95.82203978881829","93.33550455932605","185.8706015075686","209.4046029724125","196.08367517700248","201.05758126831086","180.6321782531739","198.30453116455112","204.07727894287157","195.8183141418458","189.69115565185555","205.4109740966799","226.6359958679201","238.7137304443363","237.82444956665083","240.48864613037148","263.0457052856449","265.7102252990728","269.17300493774457","270.5946705749516","289.0663988403327","295.9925286437997","301.05475522461","287.6460187377934","186.40820659179707","211.54040114135725"
"1.7. Formação Campestre","1595.8891623840236","1546.2540915039021","1553.535322857662","1546.788367871091","1552.1179405334444","1583.1073159362631","1579.7318766113194","1584.8841364929144","1611.966455865469","1579.1997234985265","1563.394104840086","1560.553027270506","1554.8696667114234","1559.93331028442","1566.0659526611303","1573.9684029479963","1573.3438209594694","1568.013916534423","1558.5124619262688","1566.6798843627923","1562.4194266662603","1574.2294886413572","1570.056612121581","1567.4809916687","1584.618975695789","1583.7358179626367","1573.878392718496","1550.7890826904286","1569.3631151428208","1559.1602399719213","1545.039745648187","1565.64604058227","1569.6495362121493","1581.6399600585903","1565.9935893249515","1545.0197040100097","1541.2864257324227","1545.1044838867183","1605.070357037354"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","5572.154850958013","5613.09393742651","5590.536454638431","5595.953943017335","5587.338628930419","5558.032446948009","5557.942542370365","5515.050768292016","5481.658598937773","5461.8553109617005","5404.665500738284","5370.120712023678","5385.837652178718","5310.708428210163","5318.169711755092","5107.438164489425","5079.375710119323","5107.34975515107","5104.3298091976885","5130.261357445971","5112.766351324143","5103.707829449146","5114.71980400969","5129.727532622966","5123.422606890552","5090.565049889816","5070.406925072921","5043.233446764834","5028.936975524608","5008.600566515828","5006.20304860201","5000.5202105099725","5010.99861964082","5005.670800945755","4995.369746496297","4991.994936700159","5010.199509698199","5172.087867986727","5137.6334944210475"
"2. Antrópico","3205.942354675279","3324.864022290033","3401.9635556030516","3559.3661167358196","3786.433721698012","3915.581279687507","3969.391840472412","3885.192798272704","3913.331489697266","3965.8416196227736","4251.380546301261","4440.429322479228","4530.068123626671","4765.134434521477","4913.233231848148","5298.415547741693","5834.214493554757","6540.238839349753","6999.769285907434","7384.758933313435","7829.3260013917825","7886.89395471184","7735.971300012123","7635.417393255598","7360.695029144551","7037.4997781985485","7245.475356823991","7958.423497552799","9758.362876056095","11217.914145025326","12794.785176903937","13774.66186313425","14615.807338665198","15074.592396471884","16667.521168835545","19174.695692687725","20920.23227583021","22166.831579608617","23803.717482861764"
